source,target,interaction,weight,edge_color
H1310063_DNA.MetaBAT2.7,K07720,MAG-KO,2.28422983287255,blue
H1310063_DNA.MetaBAT2.7,K09815,MAG-KO,2.28422983287255,blue
H1310063_DNA.MetaBAT2.7,K14188,MAG-KO,2.28422983287255,blue
H1310063_DNA.MetaBAT2.7,K16329,MAG-KO,2.28422983287255,blue
H1310063_DNA.MetaBAT2.7,K16787,MAG-KO,2.28422983287255,blue
H1310063_DNA.MetaBAT2.7,K18887,MAG-KO,2.28422983287255,blue
H1310063_DNA.MetaBAT2.7,K18888,MAG-KO,2.28422983287255,blue
H1310063_DNA.MetaBAT2.7,K19081,MAG-KO,2.28422983287255,blue
H1310063_DNA.MetaBAT2.7,K19083,MAG-KO,2.28422983287255,blue
H1310063_DNA.MetaBAT2.7,K19084,MAG-KO,2.28422983287255,blue
H1310063_DNA.MetaBAT2.7,K21030,MAG-KO,2.28422983287255,blue
H1310063_DNA.MetaBAT2.7,K23535,MAG-KO,2.28422983287255,blue
H1310063_DNA.MetaBAT2.7,K23536,MAG-KO,2.28422983287255,blue
H1310063_DNA.MetaBAT2.7,K23537,MAG-KO,2.28422983287255,blue
H1310063_DNA.MetaBAT2.7,K25659,MAG-KO,2.28422983287255,blue
H1900044_DNA.MetaBAT2.23,K00012,MAG-KO,0.548764376318816,blue
H1900044_DNA.MetaBAT2.23,K00088,MAG-KO,0.548764376318816,blue
H1900044_DNA.MetaBAT2.23,K00239,MAG-KO,0.548764376318816,blue
H1900044_DNA.MetaBAT2.23,K00939,MAG-KO,0.548764376318816,blue
H1900044_DNA.MetaBAT2.23,K00948,MAG-KO,0.548764376318816,blue
H1900044_DNA.MetaBAT2.23,K01489,MAG-KO,0.548764376318816,blue
H1900044_DNA.MetaBAT2.23,K01520,MAG-KO,0.548764376318816,blue
H1900044_DNA.MetaBAT2.23,K01756,MAG-KO,0.548764376318816,blue
H1900044_DNA.MetaBAT2.23,K01784,MAG-KO,0.548764376318816,blue
H1900044_DNA.MetaBAT2.23,K01803,MAG-KO,0.548764376318816,blue
H1900044_DNA.MetaBAT2.23,K01921,MAG-KO,0.548764376318816,blue
H1900044_DNA.MetaBAT2.23,K01923,MAG-KO,0.548764376318816,blue
H1900044_DNA.MetaBAT2.23,K01933,MAG-KO,0.548764376318816,blue
H1900044_DNA.MetaBAT2.23,K01945,MAG-KO,0.548764376318816,blue
H1900044_DNA.MetaBAT2.23,K01991,MAG-KO,0.548764376318816,blue
H1900044_DNA.MetaBAT2.23,K02314,MAG-KO,0.548764376318816,blue
H1900044_DNA.MetaBAT2.23,K02863,MAG-KO,0.548764376318816,blue
H1900044_DNA.MetaBAT2.23,K02867,MAG-KO,0.548764376318816,blue
H1900044_DNA.MetaBAT2.23,K02874,MAG-KO,0.548764376318816,blue
H1900044_DNA.MetaBAT2.23,K02881,MAG-KO,0.548764376318816,blue
H1900044_DNA.MetaBAT2.23,K02886,MAG-KO,0.548764376318816,blue
H1900044_DNA.MetaBAT2.23,K02895,MAG-KO,0.548764376318816,blue
H1900044_DNA.MetaBAT2.23,K02902,MAG-KO,0.548764376318816,blue
H1900044_DNA.MetaBAT2.23,K02906,MAG-KO,0.548764376318816,blue
H1900044_DNA.MetaBAT2.23,K02911,MAG-KO,0.548764376318816,blue
H1900044_DNA.MetaBAT2.23,K02913,MAG-KO,0.548764376318816,blue
H1900044_DNA.MetaBAT2.23,K02931,MAG-KO,0.548764376318816,blue
